stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
03700325,,"Slough, Wellington Street",,51.510577904,-0.593269947,,,0,,,0
03700311,,"Sorting Office",,51.509292549,-0.585826097,,,0,,,0
03700309,,"Uxbridge Road Sainsbury's",,51.506753511,-0.578858564,,,0,,,0
03700074,,"St Bernards Convent",,51.504969186,-0.573352304,,,0,,,0
03700077,,"Kaywood Close",,51.502711724,-0.568149462,,,0,,,0
03700079,,"Upton Court Road Junction",,51.500555385,-0.563880426,,,0,,,0
03700081,,"Drake Avenue",,51.499344821,-0.559754861,,,0,,,0
03700082,,"Cedar Way",,51.497812171,-0.556504081,,,0,,,0
03700085,,"Ditton Park Road",,51.494855715,-0.550100556,,,0,,,0
03700087,,"Langley, London Road/High Street",,51.493545018,-0.546641684,,,0,,,0
03700089,,"Sutton Lane",,51.489685842,-0.537113747,,,0,,,0
03700156,,"Crown Meadow",,51.485601857,-0.529798253,,,0,,,0
03700157,,"Red Lion",,51.484426585,-0.527862932,,,0,,,0
03700160,,"Colnbrook, Ye Olde George",,51.483602755,-0.522416679,,,0,,,0
03700162,,"Coleridge Crescent West",,51.480679203,-0.51618315,,,0,,,0
03700165,,"Poyle Road Junction",,51.479752633,-0.513050934,,,0,,,0
03700167,,"Galleymead Road",,51.479378767,-0.509808524,,,0,,,0
490010009E,,"Moor Bridge",,51.479120959,-0.499462844,,,0,,,0
4900164307,,"Heathrow Airport, Terminal 5",,51.472034598,-0.489616422,,,0,,,0
0380F968G059,,"Bracknell Bus Station",,51.413629662,-0.750854859,,,0,,,0
0380G900G298,,"Bay Road",,51.415895289,-0.73739052,,,0,,,0
0380H221G146,,"Bullbrook Ethyl Labs",,51.414479106,-0.73281354,,,0,,,0
0380H635H978,,"Drovers Way",,51.412904404,-0.726903939,,,0,,,0
0380I005H964,,"Allsmoor Lane",,51.412720667,-0.721588629,,,0,,,0
0380I421H947,,"The Brackens",,51.412502478,-0.71561287,,,0,,,0
0380J063H906,,"The Royal Foresters Hotel",,51.412032434,-0.706394533,,,0,,,0
0380J492H875,,"Fernbank Corner",,51.41168555,-0.700235647,,,0,,,0
036006001285,,"Gainsborough Drive",,51.411463304,-0.696417099,,,0,,,0
036006001284,,"Heatherwood Roundabout",,51.411544158,-0.689153322,,,0,,,0
036006858859,,"High Standing Hill",,51.456072492,-0.654183935,,,0,,,0
036006857858,,"Legoland Roundabout",,51.463782556,-0.644369669,,,0,,,0
036006353354,,"St Leonards Hill",,51.467944163,-0.638012469,,,0,,,0
036006352352,,"Woodland Avenue",,51.469184003,-0.635599992,,,0,,,0
036006350350,,"Prince Albert PH",,51.470513196,-0.631600957,,,0,,,0
036006237238,,"Windsor, Imperial Court",,51.471352975,-0.627285216,,,0,,,0
036006758759,,"Stag Meadow",,51.47106884,-0.622225659,,,0,,,0
036006372372,,"Trevelyan School",,51.471246654,-0.617468954,,,0,,,0
036006235236,,"King Edward VII Hospital",,51.473686514,-0.615436967,,,0,,,0
036006374375,,"All Saints' Church",,51.475467988,-0.61096243,,,0,,,0
036006376377,,"Grove Road",,51.477844848,-0.607419807,,,0,,,0
036006216216,,"Windsor, Parish Church",,51.481541581,-0.606745572,,,0,,,0
036006215215,,"Windsor, Castle Hill",,51.483278446,-0.608377661,,,0,,,0
036006212212,,"Arthur Road",,51.482657525,-0.613653156,,,0,,,0
036006209209,,"Boys School",,51.48334545,-0.622431823,,,0,,,0
03700319,,"Windsor Road, McDonalds",,51.50302575,-0.600125589,,,0,,,0
03700317,,"Albert Street",,51.505191963,-0.598546295,,,0,,,0
03700334,,"Landmark Place",,51.507901814,-0.596561091,,,0,,,0
