route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:1,CTNY:BCAO703:703:703FECM251229:O:1,"Heathrow T5",,1,42,BCAO703-4,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:2,CTNY:BCAO703:703:703FECM251229:O:2,"Heathrow T5",,1,58,BCAO703-20,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:3,CTNY:BCAO703:703:703FECM251229:O:3,"Heathrow T5",,1,42,BCAO703-4,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:4,CTNY:BCAO703:703:703FECM251229:O:4,"Heathrow T5",,1,51,BCAO703-20,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:5,CTNY:BCAO703:703:703FECM251229:O:5,"Heathrow T5",,1,52,BCAO703-20,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:6,CTNY:BCAO703:703:703FECM251229:O:6,"Heathrow T5",,1,53,BCAO703-19,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:7,CTNY:BCAO703:703:703FECM251229:O:7,"Heathrow T5",,1,58,BCAO703-19,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:8,CTNY:BCAO703:703:703FECM251229:O:8,"Heathrow T5",,1,51,BCAO703-4-1,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:9,CTNY:BCAO703:703:703FECM251229:O:9,"Heathrow T5",,1,54,BCAO703-6,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:10,CTNY:BCAO703:703:703FECM251229:O:10,"Heathrow T5",,1,55,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:11,CTNY:BCAO703:703:703FECM251229:O:11,"Heathrow T5",,1,56,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:12,CTNY:BCAO703:703:703FECM251229:O:12,"Heathrow T5",,1,57,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:13,CTNY:BCAO703:703:703FECM251229:O:13,"Heathrow T5",,1,52,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:14,CTNY:BCAO703:703:703FECM251229:O:14,"Heathrow T5",,1,53,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:15,CTNY:BCAO703:703:703FECM251229:O:15,"Heathrow T5",,1,51,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:16,CTNY:BCAO703:703:703FECM251229:O:16,"Heathrow T5",,1,54,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:17,CTNY:BCAO703:703:703FECM251229:O:17,"Heathrow T5",,1,58,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:18,CTNY:BCAO703:703:703FECM251229:O:18,"Heathrow T5",,1,55,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:19,CTNY:BCAO703:703:703FECM251229:O:19,"Heathrow T5",,1,56,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:20,CTNY:BCAO703:703:703FECM251229:O:20,"Heathrow T5",,1,57,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:21,CTNY:BCAO703:703:703FECM251229:O:21,"Heathrow T5",,1,52,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:22,CTNY:BCAO703:703:703FECM251229:O:22,"Heathrow T5",,1,53,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:23,CTNY:BCAO703:703:703FECM251229:O:23,"Heathrow T5",,1,51,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:24,CTNY:BCAO703:703:703FECM251229:O:24,"Heathrow T5",,1,54,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:25,CTNY:BCAO703:703:703FECM251229:O:25,"Heathrow T5",,1,58,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:26,CTNY:BCAO703:703:703FECM251229:O:26,"Heathrow T5",,1,55,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:27,CTNY:BCAO703:703:703FECM251229:O:27,"Heathrow T5",,1,56,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:28,CTNY:BCAO703:703:703FECM251229:O:28,"Heathrow T5",,1,57,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:29,CTNY:BCAO703:703:703FECM251229:O:29,"Heathrow T5",,1,52,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:30,CTNY:BCAO703:703:703FECM251229:O:30,"Heathrow T5",,1,53,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:31,CTNY:BCAO703:703:703FECM251229:O:31,"Heathrow T5",,1,51,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:32,CTNY:BCAO703:703:703FECM251229:O:32,"Heathrow T5",,1,54,BCAO703-14,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:33,CTNY:BCAO703:703:703FECM251229:O:33,"Heathrow T5",,1,58,BCAO703-3,,
CTNY:BCAO703:703,CTNY:BCAO703:703:703FECM251229:O:34,CTNY:BCAO703:703:703FECM251229:O:34,"Heathrow T5",,1,55,BCAO703-14,,
