LA,ESTAB,URN,PERCTOT,PPERSABS10
870,2000,109776,6.3,17.9
870,2002,137281,3.1,2.9
870,2003,109778,3.4,5.1
870,2004,138372,7.1,22.3
870,2005,109779,6.5,18.4
870,2006,109780,7.1,21.7
870,2007,109781,5.3,15.5
870,2008,109782,5.4,16.6
870,2011,139066,4.5,11.6
870,2012,139653,7.7,22
870,2015,140379,6.6,22.2
870,2016,109786,7.3,24.1
870,2017,139972,3.8,4.9
870,2018,109787,5.4,13
870,2019,109788,4.5,9.3
870,2020,109789,6.5,24.5
870,2021,109790,4.6,10.1
870,2024,109793,5.6,14.5
870,2025,142072,7.1,25
870,2026,109794,4.1,7.4
870,2027,109795,5.4,12.8
870,2028,142682,5.6,20.3
870,2029,109796,6.2,17.4
870,2031,136457,6.2,17.8
870,2034,109799,7,24.8
870,2035,146275,7.4,26.4
870,2036,109800,5.9,16.4
870,2039,147868,5,12.5
870,2226,109920,5.7,16.9
870,2233,109925,4.7,12.6
870,2234,109926,5.6,13.5
870,2253,109944,6.9,22
870,2254,145660,5.5,13.5
870,3000,109945,4.1,7.3
870,3300,142735,4.8,10.1
870,3302,110003,5.8,15.1
870,3304,110004,5.6,11.2
870,3305,110005,6.1,18.2
870,3360,110038,3.5,9.5
870,3361,136512,7.7,26.3
870,4000,139268,12.9,42.4
870,4001,141886,9.3,28.9
870,4002,142121,9.2,29.5
870,4003,144610,8.3,23
870,4020,136307,8.3,21.2
870,5401,136449,5.7,22.3
870,5410,136876,8.2,24.6
870,5411,110107,7.4,19.7
870,5413,136448,5.4,20
870,6905,130247,14.1,43.6
870,7000,139728,14.8,33.9
870,7001,137435,13.4,39.5
870,7002,147675,33.9,75.4
870,7036,110193,7.9,21.2
870,PRI,,5.8,16.5
870,SEC,,8.6,26
870,SPE,,16.4,43.1
NAT,PRI,,5.5,14.6
NAT,SEC,,8.9,25.6
NAT,SPE,,13,37.2
