unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
1EAE3DF7-49DD-9EB1-E063-4704A8C09D02,8000000,3/22/2024,RG1 1AF,O,N,F,,21 - 23,VALPY STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF7-49DD-9EB1-E063-4704A8C09D02/current
25E9DA80-6B22-555E-E063-4704A8C066F2,127500,6/24/2024,RG1 1AR,F,N,L,FLAT 2,17 - 19,VALPY STREET,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA80-6B22-555E-E063-4704A8C066F2/current
3B5CE842-807D-EE3A-E063-4804A8C0D6F1,325000,4/16/2024,RG1 1AR,O,N,F,,17 - 19,VALPY STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-807D-EE3A-E063-4804A8C0D6F1/current
2D4D7609-C8B9-BDF9-E063-4804A8C0672F,1000000,5/17/2024,RG1 1DB,D,N,F,,11,FRIAR STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7609-C8B9-BDF9-E063-4804A8C0672F/current
1C3E72FE-EC59-F410-E063-4804A8C0DFA6,1800000,2/16/2024,RG1 1DB,O,N,F,,12A,FRIAR STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FE-EC59-F410-E063-4804A8C0DFA6/current
34222871-F796-4D2B-E063-4704A8C07853,135740,7/18/2024,RG1 1EQ,F,N,L,FLAT 29,ICON HOUSE,MERCHANTS PLACE,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/34222871-F796-4D2B-E063-4704A8C07853/current
42C129E4-36C0-60A9-E063-4804A8C0C25D,354000,12/20/2024,RG1 1HN,F,N,L,FLAT 15,"FRIARY COURT, 15",TUDOR ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-36C0-60A9-E063-4804A8C0C25D/current
34222873-1191-4D2B-E063-4704A8C07853,3600000,2/2/2024,RG1 1LG,O,N,F,,17 - 27,STATION ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/34222873-1191-4D2B-E063-4704A8C07853/current
2131FCF6-C177-86E8-E063-4804A8C0372B,365259,4/17/2024,RG1 1LX,O,N,L,GROUND FLOOR RETAIL UNIT,THAMES TOWER,STATION ROAD,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-C177-86E8-E063-4804A8C0372B/current
25E9DA81-C435-555E-E063-4704A8C066F2,213000,5/31/2024,RG1 1NR,F,N,L,FLAT 117,"GARRARD HOUSE, 30",GARRARD STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA81-C435-555E-E063-4704A8C066F2/current
25E9DA81-C436-555E-E063-4704A8C066F2,213000,5/31/2024,RG1 1NR,F,N,L,FLAT 118,"GARRARD HOUSE, 30",GARRARD STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA81-C436-555E-E063-4704A8C066F2/current
38EDC0C3-9402-0F63-E063-4704A8C00424,375000,8/29/2024,RG1 1NT,T,N,F,,9,SACKVILLE STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-9402-0F63-E063-4704A8C00424/current
38EDC0C2-A2B5-0F63-E063-4704A8C00424,371250,12/11/2024,RG1 1NT,T,N,F,,11,SACKVILLE STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C2-A2B5-0F63-E063-4704A8C00424/current
2859C1AC-D957-52B4-E063-4804A8C05948,393000,6/3/2024,RG1 1NT,T,N,F,,25,SACKVILLE STREET,,READING,READING,READING,B,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-D957-52B4-E063-4804A8C05948/current
38EDC0C2-A142-0F63-E063-4704A8C00424,360000,8/14/2024,RG1 1NX,F,N,L,,15,TANFIELDS,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C2-A142-0F63-E063-4704A8C00424/current
2859C1AB-8583-52B4-E063-4804A8C05948,175000,10/29/2024,RG1 1PA,F,N,L,FLAT 20,SUMMIT HOUSE 49-51,GREYFRIARS ROAD,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AB-8583-52B4-E063-4804A8C05948/current
31C68071-BDC7-FEE3-E063-4804A8C04F37,175000,5/17/2024,RG1 1PJ,F,N,L,FLAT 10,"FORBURY VIEW, 11",BLAGRAVE STREET,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/31C68071-BDC7-FEE3-E063-4804A8C04F37/current
3B5CE841-6FB2-EE3A-E063-4804A8C0D6F1,190000,7/5/2024,RG1 1ST,F,N,L,FLAT 4,FRANKLYN HOUSE,CROSS STREET,,READING,READING,READING,A,http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE841-6FB2-EE3A-E063-4804A8C0D6F1/current
