Postcode,Latitude,Longitude,Easting,Northing,Grid Ref,Postcodes,Active postcodes,Population,Households,Built up area,Nearby Sectors
RG1 1,51.4569,-0.973118,471444,173602,SU714736,315,83,553,312,Reading,"RG1 8, RG1 2, RG1 7, RG1 4, RG1 3, RG1 6, RG4 5, RG2 0, RG30 9, RG4 8"
RG1 2,51.4515,-0.970667,471622,173004,SU716730,291,118,4093,1754,Reading,"RG1 1, RG1 4, RG1 7, RG1 3, RG1 6, RG1 8, RG1 5, RG2 0, RG1 9, RG4 5"
RG1 3,51.4542,-0.960342,472336,173315,SU723733,322,175,7085,2671,Reading,"RG1 4, RG1 5, RG1 2, RG4 5, RG1 1, RG6 9, RG2 7, RG1 7, RG1 8, RG6 6"
RG1 4,51.4533,-0.96308,472147,173212,SU721732,307,123,2830,1524,Reading,"RG1 3, RG1 2, RG1 5, RG1 1, RG4 5, RG1 7, RG1 8, RG2 7, RG6 9, RG1 6"
RG1 5,51.4495,-0.956925,472581,172795,SU725727,306,177,10446,3405,Reading,"RG1 3, RG1 4, RG2 7, RG1 2, RG6 6, RG6 9, RG4 5, RG1 1, RG6 1, RG1 6"
RG1 6,51.4488,-0.982525,470803,172692,SU708726,261,176,8924,3977,Reading,"RG1 7, RG1 2, RG1 8, RG1 1, RG30 9, RG2 0, RG1 9, RG1 4, RG30 2, RG3 2"
RG1 7,51.4545,-0.980088,470963,173328,SU709733,381,201,6734,3322,Reading,"RG1 6, RG1 8, RG1 1, RG1 2, RG30 9, RG1 4, RG1 3, RG30 2, RG30 1, RG3 2"
RG1 8,51.4603,-0.976637,471194,173977,SU711739,267,112,2615,1199,Reading,"RG1 1, RG1 7, RG1 2, RG30 9, RG1 6, RG1 4, RG4 5, RG4 8, RG1 3, RG30 1"
RG1 9,51.4348,-0.973194,471473,171144,SU714711,398,82,,,Reading,"RG2 0, RG2 7, RG1 2, RG1 1, RG1 6, RG2 8, RG2 6, RG1 7, RG1 4, RG1 8"
RG2 0,51.4363,-0.972532,471517,171312,SU715713,375,184,5727,2351,Reading,"RG1 9, RG2 7, RG1 2, RG1 1, RG1 6, RG2 8, RG1 7, RG1 4, RG1 8, RG1 5"
RG2 6,51.4249,-0.98992,470325,170027,SU703700,70,55,,,Reading,"RG1 9, RG2 0, RG2 8, RG1 6, RG30 9, RG30 3, RG3 3, RG1 7, RG30 2, RG3 2"
