URN,LANAME,LA,ESTAB,LAESTAB,SCHNAME,STREET,LOCALITY,ADDRESS3,TOWN,POSTCODE,SCHSTATUS,OPENDATE,CLOSEDATE,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,ADMPOL
109776,Reading,870,2000,8702000,Alfred Sutton Primary School,148 Wokingham Road,,,Reading,RG6 1JR,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
109778,Reading,870,2003,8702003,Caversham Primary School,Hemdean Road,Caversham,,Reading,RG4 7RA,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable
109779,Reading,870,2005,8702005,Coley Primary School,Wolseley Street,,,Reading,RG1 6AZ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
109780,Reading,870,2006,8702006,E P Collier Primary School,Ross Road,,,Reading,RG1 8DZ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
109781,Reading,870,2007,8702007,Geoffrey Field Junior School,Exbourne Road,,,Reading,RG2 8RH,Open,,,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Not applicable
109782,Reading,870,2008,8702008,Geoffrey Field Infant School,Exbourne Road,Whitley Wood,,Reading,RG2 8RH,Open,,,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Not applicable
109786,Reading,870,2016,8702016,Oxford Road Community School,146 Oxford Road,,,Reading,RG1 7PJ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
109787,Reading,870,2018,8702018,Redlands Primary School,Lydford Road,,,Reading,RG1 5QH,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
109788,Reading,870,2019,8702019,The Hill Primary School,Peppard Road,Emmer Green,,Reading,RG4 8TU,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
109789,Reading,870,2020,8702020,The Ridgeway Primary School,Hillbrow,,,Reading,RG2 8JD,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
109790,Reading,870,2021,8702021,Park Lane Primary School,School Road,Tilehurst,,Reading,RG31 5BD,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable
109793,Reading,870,2024,8702024,Wilson Primary School,Wilson Road,,,Reading,RG30 2RW,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
109794,Reading,870,2026,8702026,Emmer Green Primary School,Grove Road,Emmer Green,,Reading,RG4 8LN,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
109795,Reading,870,2027,8702027,Southcote Primary School,Silchester Road,Southcote,,Reading,RG30 3EJ,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
109796,Reading,870,2029,8702029,St Michael's Primary School,Dee Road,Tilehurst,,Reading,RG30 4AS,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable
109799,Reading,870,2034,8702034,Moorlands Primary School,Church End Lane,Tilehurst,,Reading,RG30 4UN,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
109800,Reading,870,2036,8702036,Thameside Primary School,Harley Road,Caversham,,Reading,RG4 8DB,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable
109920,Reading,870,2226,8702226,Katesgrove Primary School,Dorothy Street,,,Reading,RG1 2NL,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
109925,Reading,870,2233,8702233,Caversham Park Primary School,Queensway,Caversham Park Village,,Reading,RG4 6RP,Open,,,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Not applicable
109926,Reading,870,2234,8702234,Micklands Primary School,Micklands Road,Caversham,,Reading,RG4 6LU,Open,,,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Not applicable
109944,Reading,870,2253,8702253,Manor Primary School,110 Ashampstead Road,,,Reading,RG30 3LJ,Open,,,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Not applicable
109945,Reading,870,3000,8703000,All Saints Church of England Aided Infant School,Brownlow Road,,,Reading,RG1 6NP,Open,,,Maintained school,Voluntary aided school,1,0,0,5,7,Mixed,Church of England,Not applicable
